LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.697785	1.586501	46.240000	36.794000	46.240000	16.840920	1.240248	
0.100000	1.200182	1.306083	46.240000	56.598000	55.560000	17.305405	1.306107	
0.100000	1.004637	1.033288	50.900000	63.840000	64.550000	17.366946	1.327873	
0.100000	0.875818	1.529706	55.800800	68.666000	54.590000	17.042269	1.059996	
0.100000	0.775776	1.146047	54.472963	72.792000	63.280000	17.354278	1.179841	
0.100000	0.711268	1.213110	56.452178	75.378000	62.640000	16.702525	1.285674	
0.100000	0.668339	1.196520	57.377578	76.808000	64.010000	17.590653	1.110608	
0.100000	0.629502	0.979437	58.265717	78.218000	70.380000	17.232749	1.182668	
0.100000	0.604598	0.785395	60.127929	79.028000	73.570000	17.782720	1.186112	
0.100000	0.588769	0.883700	61.955772	79.694000	72.460000	17.035435	1.228169	
0.100000	0.576048	1.085148	63.052219	80.182000	64.780000	17.393616	1.104108	
0.100000	0.553847	0.926336	62.681922	80.804000	70.620000	16.950874	1.192927	
0.100000	0.539008	0.880756	63.281995	81.480000	71.220000	17.494424	1.333692	
0.100000	0.525146	0.909365	63.828444	81.800000	72.920000	16.761392	1.173205	
0.100000	0.523183	0.782202	64.473810	81.924000	74.000000	17.353942	1.276960	
0.100000	0.515013	1.049737	65.115564	82.196000	69.050000	17.177817	1.263517	
0.100000	0.505490	0.656550	65.084288	82.608000	78.190000	17.427632	1.347139	
0.100000	0.501156	0.666881	66.036196	82.778000	77.140000	17.080121	1.210572	
0.100000	0.488038	0.723468	66.708633	83.114000	76.480000	16.960733	1.187143	
0.100000	0.484016	1.001634	67.205441	83.258000	70.160000	17.849696	1.273036	
0.100000	0.478070	0.777018	67.051356	83.408000	74.550000	17.371457	1.120882	
0.100000	0.480485	1.072659	67.316253	83.468000	68.260000	17.003570	1.140462	
0.100000	0.464182	0.760131	67.022161	84.034000	76.540000	18.200440	1.349012	
0.100000	0.468411	0.588330	67.444164	83.834000	80.520000	18.076934	1.320024	
0.100000	0.457784	0.656257	68.114157	84.214000	78.830000	18.545942	1.272048	
0.100000	0.461968	0.700044	68.567158	83.922000	77.020000	18.296381	1.287265	
