LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.746227	1.497438	34.900000	44.480000	16.786837	1.149176	
0.100000	1.304334	1.205974	52.338000	57.240000	16.473742	1.103144	
0.100000	1.057981	1.192435	61.976000	57.730000	16.628492	1.178973	
0.100000	0.937484	1.182704	66.488000	60.720000	16.494248	1.227757	
0.100000	0.843921	0.984116	70.200000	65.960000	16.958855	1.233880	
0.100000	0.766320	1.307931	72.986000	59.510000	16.335562	1.286168	
0.100000	0.707149	1.051038	75.366000	66.040000	16.275724	1.170614	
0.100000	0.660406	0.821751	76.950000	72.600000	16.911735	1.148497	
0.100000	0.625022	1.011058	78.158000	68.350000	15.783071	1.025944	
0.100000	0.599327	0.911779	79.216000	71.100000	15.594722	1.243284	
0.100000	0.576057	1.151307	80.170000	61.760000	15.193104	1.018254	
0.100000	0.557087	0.735202	80.714000	75.660000	15.694442	0.973025	
0.100000	0.540470	0.852690	81.300000	72.410000	14.465257	0.899552	
0.100000	0.538550	0.942281	81.468000	70.830000	14.456555	0.977491	
0.100000	0.516989	0.953567	82.174000	69.490000	14.357049	0.972382	
0.100000	0.507328	0.965879	82.396000	70.820000	13.629469	0.939285	
0.100000	0.505675	1.009532	82.592000	69.060000	14.048256	0.936749	
0.100000	0.491319	0.850343	83.028000	74.550000	15.607099	0.938872	
0.100000	0.494548	0.676624	83.108000	78.680000	16.340369	1.010598	
0.100000	0.480731	0.702631	83.546000	78.000000	14.138130	0.938369	
0.100000	0.472742	0.646863	83.506000	78.310000	14.257031	1.524537	
0.100000	0.470551	0.671505	83.896000	78.030000	13.832486	1.483941	
0.100000	0.460104	0.809868	84.140000	73.110000	14.447882	0.948125	
0.100000	0.456779	0.748414	84.212000	75.270000	14.732000	1.160754	
0.100000	0.453017	0.940442	84.568000	71.600000	13.704255	0.957547	
0.100000	0.448467	0.641837	84.550000	78.040000	14.481732	0.937722	
0.100000	0.448057	0.932340	84.740000	72.780000	14.383115	0.937824	
0.100000	0.439436	0.765497	84.770000	75.470000	13.932938	0.928815	
0.100000	0.441248	0.848144	84.812000	73.160000	18.839027	0.990533	
0.100000	0.437139	0.737216	84.868000	76.920000	15.107308	0.991017	
0.100000	0.437977	0.751197	84.750000	76.710000	13.946974	0.942098	
0.100000	0.429146	0.795122	85.208000	74.230000	14.380054	0.952850	
0.100000	0.430263	0.814672	84.918000	74.630000	16.112121	0.959342	
0.100000	0.428801	0.789374	85.088000	75.250000	16.283847	0.962999	
0.100000	0.423611	0.718907	85.498000	77.600000	15.676744	0.968369	
0.100000	0.424248	0.608257	85.322000	79.990000	15.326658	1.027165	
0.100000	0.420975	0.707710	85.528000	77.770000	16.706796	0.978629	
0.100000	0.416143	1.153352	85.728000	67.580000	14.744433	0.969619	
